"","station","EHF_t","min_95","min_99","max_95","max_99","mean_95","mean_99"
"770",19048,23.8379166666667,19.5,22.5,36,40,27,30.75
"771",19050,22.1644791666667,19.5,23,36.5,40,27.5,30.75
"772",19052,24.3539583333333,19,22.5,36,40,26.75,30.5
"773",19053,24.9093333333334,17.5,21,34.5,38.5,25.5,29
"774",19056,22.4957291666667,19.5,23,36.5,40.5,27.5,30.75
"775",19057,21.9921527777778,19.5,23,37.5,41,27.75,31
"776",19058,22.7927430555556,19,22.5,36.5,40,27.25,30.5
"777",19059,21.8459027777778,22,25,38,42,29.25,32.75
"778",19060,23.0277777777778,17.5,21,36,39.5,26.25,29.5
"779",19061,22.003125,18.5,22,36,39.5,26.75,30
"780",19062,23.3006277777778,16.8,20.5,35.6,39.5,25.55,29.05
"781",19066,21.8858611111111,22,25.5,37.8,41.8,29.3,32.85
"782",19069,23.3821180555555,18.5,21.5,36,39.5,26.5,30
"783",19070,21.1935416666666,19.5,23,36,39.5,27.25,30.5
"784",19080,22.3089930555555,19,22.5,36.5,40,27,30.25
"785",19095,22.3326388888889,19,22,36.5,40.5,27.25,30.5
"786",19102,24.3766666666667,19.5,23,36,40,27,30.5
"787",19108,22.9270833333333,19,22,36,39.5,26.75,30.25
"788",2000,3.4728125,26,27.5,40.5,42,33,34.5
"789",20000,20.0909722222222,20.5,24,38,41.5,28.75,32
"790",20001,19.9258333333333,21.5,24.5,38,41.5,29.25,32.5
"791",20002,20.6001388888889,21.5,25,37.5,41.5,29.25,32.5
"792",20004,19.026875,21.5,25,39,42,29.75,32.75
"793",20005,18.5375694444445,22,25,39,42,30,33
"794",20006,18.1533333333334,22.5,26,39,42.5,30.5,33.5
"795",20007,19.5709027777778,21,24.5,38,41.5,29.25,32.25
"796",20008,23.3729166666666,19,22.5,37.5,41.5,27.75,31.25
"797",20009,23.9725347222222,19,22.5,37.5,41.5,27.5,31
"798",2001,2.81222222222223,27,28,40.5,42,33.5,34.75
"799",20010,20.2277777777778,20.5,24,38,41.5,28.75,32
"800",20011,20.6518402777778,21.5,25,38,41.5,29.5,32.5
"801",20012,22.4583333333333,19.5,23,38,41.5,28.25,31.5
"802",20013,21.8864236111111,19,22.5,37,40.5,27.75,31
"803",20014,20.5569444444444,21,24.5,38,41.5,29.25,32.25
"804",20015,20.8188194444445,20,23.5,38,41.5,28.5,31.5
"805",20016,18.7796875,22.5,25.5,38.5,42,30.25,33.25
"806",20017,22.1416666666667,20.5,24,37.5,41,28.75,32
"807",20018,22.965,20.5,24,38,41.5,28.75,32
"808",20019,21.0680208333333,20,23.5,37.5,41,28.5,31.6000000000004
"809",2002,3.269375,27,28,41.5,43,33.75,35.25
"810",20020,21.9728125,19,22.5,37.5,41,27.75,31.1000000000004
"811",20021,22.2848263888889,18.5,22,37,41,27.5,30.75
"812",20023,20.6911458333333,19.5,23,37.5,41,28,31.25
